mrt_station_name,latitude,longtitude,opening_date
Kent Ridge MRT Station,1.2933333333333332,103.78444444444445,8 October 2011
Haw Par Villa MRT Station,1.2827777777777778,103.78166666666667,8 October 2011
Pasir Panjang MRT Station,1.276111111111111,103.79138888888889,8 October 2011
Labrador Park MRT Station,1.2722222222222221,103.80277777777778,8 October 2011
Telok Blangah MRT Station,1.2705555555555554,103.80972222222222,8 October 2011
Keppel MRT Station,1.27,103.83111111111111,Not opened yet
Cantonment MRT Station,1.2727777777777778,103.83666666666666,Not opened yet
Prince Edward Road MRT Station,1.2733333333333332,103.84722222222221,Not opened yet
Bayfront MRT Station,1.2825,103.85944444444443,14 January 2012
Cashew MRT Station,1.3688888888888888,103.76472222222222,27 December 2015
Hillview MRT Station,1.3625,103.7675,27 December 2015
Hume MRT Station,1.3547222222222224,103.76916666666666,Not opened yet
Beauty World MRT Station,1.3411111111111111,103.77583333333334,27 December 2015
King Albert Park MRT Station,1.3358333333333332,103.78361111111111,27 December 2015
Sixth Avenue MRT Station,1.3308333333333333,103.7975,27 December 2015
Tan Kah Kee MRT Station,1.326111111111111,103.80722222222222,27 December 2015
Stevens MRT Station,1.32,103.8261111111111,27 December 2015
Rochor MRT Station,1.303763888888889,103.85258055555555,27 December 2015
Downtown MRT Station,1.2794444444444444,103.85305555555556,22 December 2013
Telok Ayer MRT Station,1.2822222222222222,103.84833333333333,22 December 2013
Fort Canning MRT Station,1.2925,103.84444444444443,21 October 2017
Bencoolen MRT Station,1.2988888888888888,103.85027777777778,21 October 2017
Jalan Besar MRT Station,1.3055555555555556,103.85527777777777,21 October 2017
Bendemeer MRT Station,1.313611111111111,103.86305555555555,21 October 2017
Geylang Bahru MRT Station,1.321388888888889,103.87138888888889,21 October 2017
Mattar MRT Station,1.3272222222222223,103.88277777777778,21 October 2017
Ubi MRT Station,1.33,103.9,21 October 2017
Kaki Bukit MRT Station,1.335,103.9088888888889,21 October 2017
Bedok North MRT Station,1.3363888888888888,103.91777777777779,21 October 2017
Bedok Reservoir MRT Station,1.3366666666666667,103.93083333333334,Not opened yet
Tampines West MRT Station,1.3455555555555554,103.93833333333333,21 October 2017
Tampines East MRT Station,1.356388888888889,103.95472222222223,21 October 2017
Upper Changi MRT Station,1.3419444444444444,103.96138888888889,21 October 2017
Xilin MRT Station,1.3288888888888888,103.965,Not opened yet
Sungei Bedok MRT Station,1.3202777777777777,103.95722222222223,Not opened yet
Woodlands North MRT Station,1.4483333333333333,103.785,31 January 2020
Woodlands South MRT Station,1.4272222222222224,103.79388888888889,31 January 2020
Springleaf MRT Station,1.3977777777777778,103.81833333333333,28 August 2021
Lentor MRT Station,1.3847222222222222,103.83666666666666,28 August 2021
Mayflower MRT Station,1.3725,103.83722222222222,28 August 2021
Bright Hill MRT Station,1.363888888888889,103.83472222222221,28 August 2021
Upper Thomson MRT Station,1.3541666666666667,103.83333333333333,28 August 2021
Mount Pleasant MRT Station,1.3286111111111112,103.83555555555554,Not opened yet
Napier MRT Station,1.3069444444444445,103.81916666666666,13 November 2022
Orchard Boulevard MRT Station,1.3025,103.82388888888889,13 November 2022
Great World MRT Station,1.295,103.83333333333333,13 November 2022
Havelock MRT Station,1.2877777777777777,103.83361111111111,13 November 2022
Maxwell MRT Station,1.2802777777777776,103.84388888888888,13 November 2022
Shenton Way MRT Station,1.2774999999999999,103.85083333333333,13 November 2022
Marina South MRT Station,1.2738888888888888,103.86305555555555,Not opened yet
Gardens by the Bay MRT Station,1.2783333333333333,103.86805555555554,13 November 2022
Founders' Memorial MRT Station,1.291111111111111,103.86916666666666,Not opened yet
Tanjong Rhu MRT Station,1.297222222222222,103.87333333333332,Not opened yet
Katong Park MRT Station,1.2977777777777777,103.88527777777779,Not opened yet
Tanjong Katong MRT Station,1.2991666666666666,103.89777777777779,Not opened yet
Marine Parade MRT Station,1.3025,103.905,Not opened yet
Marine Terrace MRT Station,1.3061111111111112,103.91333333333334,Not opened yet
Siglap MRT Station,1.3097222222222222,103.92888888888889,Not opened yet
Bayshore MRT Station,1.3147222222222223,103.94361111111111,Not opened yet
Bedok South MRT Station,1.3166666666666667,103.94833333333334,Not opened yet
Choa Chu Kang West MRT Station,1.3788888888888888,103.73944444444444,Not opened yet
Tengah MRT Station,1.3663888888888889,103.73,Not opened yet
Hong Kah MRT Station,1.3580555555555556,103.72583333333334,Not opened yet
Corporation MRT Station,1.3530555555555557,103.71388888888889,Not opened yet
Jurong West MRT Station,1.3491666666666666,103.70833333333334,Not opened yet
Bahar Junction MRT Station,1.345422222222222,103.70254166666668,Not opened yet
Gek Poh MRT Station,1.3483333333333332,103.69805555555556,Not opened yet
Tawas MRT Station,1.3505555555555557,103.69194444444445,Not opened yet
Tengah Plantation MRT Station,1.3572222222222223,103.73333333333333,Not opened yet
Tengah Park MRT Station,1.3522222222222222,103.73666666666666,Not opened yet
Bukit Batok West MRT Station,1.3455555555555554,103.73972222222223,Not opened yet
Toh Guan MRT Station,1.3397222222222223,103.7425,Not opened yet
Jurong Town Hall MRT Station,1.326111111111111,103.7461111111111,Not opened yet
Pandan Reservoir MRT Station,1.32,103.745,Not opened yet
Enterprise MRT Station,1.3327777777777778,103.70861111111111,Not opened yet
Tukang MRT Station,1.3252777777777778,103.70916666666668,Not opened yet
Jurong Hill MRT Station,1.3186111111111112,103.71027777777778,Not opened yet
Jurong Pier MRT Station,1.3130555555555556,103.71027777777778,Not opened yet
Nanyang Gateway MRT Station,1.353611111111111,103.68666666666667,Not opened yet
Nanyang Crescent MRT Station,1.3483333333333332,103.68083333333334,Not opened yet
Peng Kang Hill MRT Station,1.3433333333333333,103.67861111111111,Not opened yet
Aviation Park MRT Station,1.37,104.00305555555556,Not opened yet
Loyang MRT Station,1.3719444444444444,103.97194444444445,Not opened yet
Pasir Ris East MRT Station,1.3661111111111113,103.96111111111111,Not opened yet
Tampines North MRT Station,1.3691666666666666,103.93777777777778,Not opened yet
Defu MRT Station,1.3622222222222222,103.89888888888889,Not opened yet
Serangoon North MRT Station,1.3705555555555555,103.8736111111111,Not opened yet
Tavistock MRT Station,1.37,103.86333333333333,Not opened yet
Teck Ghee MRT Station,1.3655555555555556,103.8436111111111,Not opened yet
Turf City MRT Station,1.3408333333333333,103.79444444444444,Not opened yet
Maju MRT Station,1.3283333333333334,103.77694444444444,Not opened yet
West Coast MRT Station,1.3108333333333333,103.75777777777778,Not opened yet
Jurong Lake District MRT Station,1.3272222222222223,103.73916666666666,Not opened yet
Elias MRT Station,1.383888888888889,103.93805555555556,Not opened yet
