,Name,Link,Opening Date,Latitude,Longitude
119,Punggol Plaza,/wiki/Punggol_Plaza,September 2004; 19 years ago (2004-09),1.39417447299355,103.913120037036
120,Rivervale Mall,,,1.39221732695142,103.904473070943
121,Rivervale Plaza,,,1.38550420775531,103.901988424927
122,Sengkang Grand Mall,,,1.38318916340582,103.892377573338
123,The Seletar Mall,/wiki/Seletar_Mall,28 November 2014; 9 years ago (2014-11-28)[1],1.39147015374628,103.876125507257
124,Upper Serangoon Shopping Centre,,,1.35348082277147,103.878828134896
125,Waterway Point,/wiki/Waterway_Point,18 January 2016; 8 years ago (2016-01-18) (Soft opening) 19 April 2016; 7 years ago (2016-04-19) (Official opening),1.40653611690554,103.90198817171
126,myVillage At Serangoon Garden,,,1.36511490572797,103.865159501442
127,Beauty World Centre,,,1.34241264188642,103.776539385406
128,Beauty World Plaza,,,1.34180018619223,103.776259359854
129,Bukit Panjang Plaza,,,1.38052239451717,103.764051414862
130,Bukit Timah Plaza,,,1.3386316527745,103.778585430975
131,Fajar Shopping Centre,,,1.38357469942896,103.770868459633
132,Greenridge Shopping Centre,,,1.38540569283271,103.766228468185
133,Hillion Mall,,,1.37841165144214,103.76382945872
134,HillV2,,,1.36267450828024,103.76417292006
135,Junction 10,/wiki/Junction_10,1998; 26 years ago (1998) (as Ten Mile Junction)30 December 2011; 12 years ago (2011-12-30) (as Junction 10),1.38018163022688,103.76041930548
136,Keat Hong Shopping Centre,,,1.37736607441394,103.744393648768
137,Limbang Shopping Centre,,,1.39222033136152,103.743611063324
138,Lot One,/wiki/Lot_One,August 1996; 27 years ago (1996-08),1.38506992325619,103.745238868238
139,Rail Mall,,,1.35773050150178,103.768137724847
140,Sunshine Place,,,1.37789727599928,103.739015486021
141,Teck Whye Shopping Centre,,,1.38004752975397,103.752483841199
142,West Mall,/wiki/West_Mall,1998; 26 years ago (1998),1.35009714832628,103.74921385957
143,Yew Tee Point,,,1.39708432396576,103.746598000147
144,Yew Tee Square,,,1.39804736098268,103.74708477866
145,VivoCity,/wiki/VivoCity,7 October 2006; 17 years ago (2006-10-07) (Soft opening)1 December 2006; 17 years ago (2006-12-01) (Official opening),1.26429316783973,103.82230469365
146,HarbourFront Centre,/wiki/HarbourFront_Centre,,1.26206336410344,103.818732564507
147,Alexandra Retail Centre,/wiki/Alexandra_Retail_Centre,,1.27384263888449,103.801375038176
148,321 Clementi,,,1.31200212030821,103.764986676365
149,The Clementi Mall,/wiki/Clementi_Mall,14 January 2011; 13 years ago (2011-01-14) (operational)21 May 2011; 12 years ago (2011-05-21) (official)[1],1.31489619639366,103.764423054189
150,IMM,/wiki/IMM_(Singapore),29 June 1991; 32 years ago (1991-06-29),1.33487526118006,103.746894773008
151,JCube,/wiki/JCube,2 April 2012; 11 years ago (2012-04-02),,
152,Jem,/wiki/Jem_(shopping_mall),15 June 2013; 10 years ago (2013-06-15),1.33329334473462,103.743278742341
153,Westgate,/wiki/Westgate_(Singapore),2 December 2013; 10 years ago (2013-12-02)[1],1.33415767556867,103.742766484424
154,Jurong Point,/wiki/Jurong_Point_Shopping_Mall,7 December 1995; 28 years ago (1995-12-07) (Original mall)10 December 2008; 15 years ago (2008-12-10) (New wing),1.33945271661445,103.70668501289
155,Pioneer Mall,/wiki/Pioneer_Mall,,1.34174316145003,103.697286174545
156,The Star Vista,/wiki/One-north#The_Star_Vista,,1.30681500712523,103.788462732266
157,Alexandra Central,,,1.28728320930592,103.805283367958
158,Anchorpoint,,,1.28893477974497,103.805607779399
159,OD Mall,,,,
160,Boon Lay Shopping Centre,,,1.34633552457315,103.712430373455
161,Grantral Mall,,,1.31427043922294,103.765147487482
162,Fairprice Hub,,,1.32561767765205,103.678409741897
163,Gek Poh Shopping Centre,/wiki/Gek_Poh_Shopping_Centre,,1.3487416466288,103.697739629738
164,Rochester Mall,,,1.30540765569962,103.788446680148
165,Taman Jurong Shopping Centre,,,1.33484487471259,103.720462024278
166,West Coast Plaza,/wiki/West_Coast_Plaza,1992 (Ginza Plaza)2008 (West Coast Plaza),1.30358622534992,103.76610375397
167,Queensway Shopping Centre,/wiki/Queensway_Shopping_Centre,1976,1.28761792586115,103.803391140455
168,The Rail Mall,/wiki/The_Rail_Mall,1994,1.35773050150178,103.768137724847
