remaining_lease,sora,latitude,longitude,resale_price_per_sqm,id
72,0.2166052631578947,1.34188521733435,103.950833481196,4016.3934426229507,10
57,0.1603863636363636,1.3109761247096,103.792379920443,6722.689075630252,0
94,0.2997666666666666,1.2944605758846,103.810978956227,7536.231884057971,18
87,0.1628944444444444,1.28148915140735,103.827671951512,6918.181818181818,30
91,0.3098545454545454,1.28275797395281,103.825205576961,8444.444444444445,73
83,0.0845272727272727,1.43339605588677,103.82711777039,4144.144144144144,33
71,0.1603863636363636,1.37427380230521,103.770688640795,3074.766355140187,90
58,0.2525714285714285,1.32416996959775,103.926405179845,4957.983193277311,4
64,0.1603863636363636,1.4322213507358,103.827555124846,4179.104477611941,76
68,0.1049190476190476,1.30204488252463,103.882887148325,4964.5390070921985,77
70,0.217140909090909,1.36025027184777,103.747782999863,4338.235294117647,12
62,0.2105863636363636,1.32206108860648,103.76601401343,5074.626865671642,31
68,0.23188,1.35549051078672,103.947212194692,4666.666666666667,55
81,0.1628944444444444,1.44814759810496,103.799142729823,3494.5054945054944,88
90,0.23188,1.31373844065373,103.871903293488,7590.909090909091,26
67,0.2166052631578947,1.42893488907136,103.827716191445,4294.117647058823,42
67,0.1999749999999999,1.32736155573914,103.926119427367,4451.219512195122,69
60,0.1603863636363636,1.32726007220341,103.940848770214,4450.549450549451,15
67,0.1603863636363636,1.43420896190542,103.830974669529,3880.597014925373,40
61,0.2233,1.36797705108684,103.849264839398,6020.408163265306,96
93,0.1999749999999999,1.31298450085135,103.870430262585,8828.57142857143,9
92,0.2105863636363636,1.33453129537675,103.847565695822,8236.842105263158,72
71,0.23188,1.4157153619615,103.833410417902,4417.47572815534,11
76,0.0845272727272727,1.43363472515023,103.776294092675,3357.6642335766423,47
71,0.2469363636363636,1.37919636089776,103.7494576863,3528.0,85
71,0.23188,1.35388032675518,103.872366663054,5769.2307692307695,28
85,0.2233,1.33639827455507,103.701863345055,4345.454545454545,93
94,0.0845272727272727,1.40314294041732,103.908316260563,5108.695652173913,5
68,0.0845272727272727,1.32098928416148,103.738180684101,3750.0,66
81,0.1999749999999999,1.38382950520253,103.901693534901,3743.1372549019607,65
79,0.2762523809523809,1.44061701971721,103.79664662375,3571.4285714285716,35
86,0.3228954545454545,1.36944159368432,103.84648823913,6836.828828828829,16
63,0.2469363636363636,1.31917515239477,103.885321594343,5441.176470588235,49
69,0.1290190476190476,1.33066591127441,103.922843980645,4253.731343283582,34
91,0.1392523809523809,1.38323915036519,103.893959919868,5908.888888888889,7
95,0.2997666666666666,1.38754537018879,103.770442353455,4397.058823529412,95
60,0.1603863636363636,1.31518502692041,103.768432708555,5182.926829268293,27
67,0.2762523809523809,1.36990040378361,103.870224884545,4166.666666666667,19
67,0.2469363636363636,1.34700376747987,103.746170410388,4142.857142857143,81
82,0.2264954545454545,1.44450474363115,103.818706030955,3529.4117647058824,25
80,0.1217523809523809,1.34366766724427,103.756051700884,3826.923076923077,62
64,0.2233,1.31848805821585,103.766701548615,5123.456790123457,13
95,0.2762523809523809,1.38804394182061,103.771067583616,4411.764705882353,24
68,0.1049190476190476,1.36956178513922,103.880507506392,4527.027027027027,3
54,0.2762523809523809,1.31869832503738,103.863232193576,5969.014084507042,17
67,0.0845272727272727,1.35106126001126,103.745857351625,3904.109589041096,38
84,0.2762523809523809,1.3932795324994,103.901941660487,3693.6936936936936,8
83,0.1392523809523809,1.33369142178284,103.72126635519,3663.793103448276,78
82,0.1392523809523809,1.34481773281614,103.704952551128,4425.113043478261,6
62,0.1217523809523809,1.31353886128,103.765476305204,5304.878048780488,64
67,0.1999749999999999,1.42936930002726,103.832471405219,4615.384615384615,36
67,0.217140909090909,1.31838863767065,103.8866756731,5113.636363636364,89
67,0.1392523809523809,1.34695403231693,103.937332877241,4564.0,56
70,0.2997666666666666,1.34814264813403,103.853911806894,7109.375,99
88,0.1628944444444444,1.38119524848792,103.880066269687,4294.117647058823,54
72,0.1049190476190476,1.34384822962034,103.69350961667,3317.3076923076924,43
95,0.328778947368421,1.40579230457974,103.905777174695,5237.113402061856,50
96,0.2469363636363636,1.32277239024452,103.739714299254,5406.779661016949,67
82,0.2233,1.44450265839408,103.821009544645,3663.366336633663,46
77,0.2469363636363636,1.4392849907108,103.790782884775,4219.178082191781,68
71,0.1603863636363636,1.34014998251696,103.689146387922,3698.6301369863013,61
85,0.1217523809523809,1.39333357053438,103.889000192919,4260.869565217391,97
68,0.2762523809523809,1.35640933580615,103.947528676983,4033.0578512396696,79
53,0.23188,1.33575723665506,103.856789628423,3955.223880597015,41
79,0.1999749999999999,1.35798965118265,103.937435186474,4638.655462184874,58
69,0.2264954545454545,1.31720886017637,103.901431784747,6072.289156626506,48
85,0.1392523809523809,1.44168775932162,103.805788847375,3547.8260869565215,98
62,0.23188,1.33326478123569,103.940334868697,4080.0,57
78,0.217140909090909,1.3635179863635,103.959586721477,3357.1428571428573,75
80,0.3098545454545454,1.37746990324755,103.886929044359,4017.094017094017,32
88,0.2469363636363636,1.28099937159398,103.809225279521,5301.724137931034,94
62,0.280235,1.36167767060852,103.854726492538,4634.1463414634145,59
